xxxxxx      
SV=25.0,P=10.0,I=60,D=0,MR=0.0,Hys=0.0,H/C=0,Typ=0,
DateTime,PV(ch1),SV,MV,ch2,ch3,ch4,cjt,Stop/Run,Auto/Manual,P_MV,I_MV,D_MV,En
2022/02/12 10:55:14.475,19.5,25.0,0.0,18.5,19.5,20.1,19.2,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:16.489,19.4,25.0,0.0,18.5,19.5,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:55:18.489,19.5,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:20.494,19.5,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:22.494,19.5,25.0,0.0,18.6,19.5,20.3,19.2,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:24.499,19.5,25.0,0.0,18.5,19.5,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:26.499,19.5,25.0,0.0,18.6,19.6,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:28.499,19.5,25.0,0.0,18.5,19.4,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:30.504,19.5,25.0,0.0,18.4,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:32.504,19.5,25.0,0.0,18.4,19.4,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:34.509,19.6,25.0,0.0,18.4,19.5,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.3
2022/02/12 10:55:36.509,19.4,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:55:38.508,19.5,25.0,0.0,18.5,19.4,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:40.514,19.6,25.0,0.0,18.5,19.5,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.3
